;name;symbol;historical;1y_return;1y_volatility;3y_return;3y_volatility;5y_return;5y_volatility;sharp_1y;sharp_3y;sharp_5y
0;iShares EURO STOXX Banks 30-15ETF DE acc;1rAEXA1;1322;0.21392540753327438;0.12791080281811137;0.22140388706501754;0.18100529670712734;0.22140388706501754;0.18100529670712734;1.6724577034941717;1.223190100471239;1.223190100471239
1;iShares Core EURO STOXX 50 ETF EUR Dist;1rAEUEA;5144;0.09150766372668195;0.08953798196809788;0.09243033632885267;0.11696084552473704;0.09243033632885267;0.11696084552473704;1.0219982817938187;0.7902673404434631;0.7902673404434631
2;iShares Core EURO STOXX 50 ETF EUR Acc;1rACSX5;5144;0.10271422255538898;0.08833910433629968;0.11172288741828451;0.11639700780849009;0.11172288741828451;0.11639700780849009;1.1627265561168065;0.9598432942718254;0.9598432942718254
3;iShares STOXX Europe 600 Tech (DE) acc;1rASTEC;1148;0.14384632952560394;0.14905364751569122;0.14300930819217775;0.1718623739642799;0.14300930819217775;0.1718623739642799;0.9650641357868207;0.8321152844188048;0.8321152844188048
4;iShares Core MSCI EMU UCITS ETF EUR Acc;1rACEMU;5004;0.08794666892881753;0.07856918945216497;0.09392347324235492;0.10618724015503461;0.09392347324235492;0.10618724015503461;1.1193531401054075;0.8845080925469534;0.8845080925469534
5;iShares EURO STOXX Select Div 30 DE acc;1rAIDVA;1322;0.08330377619350704;0.08070267973871303;0.0445357509672756;0.11252067401871008;0.0445357509672756;0.11252067401871008;1.0322306082426933;0.39580060602792105;0.39580060602792105
6;iShares MSCI EMU SRI ETF EUR Acc;1rASMUA;2212;0.08716267246027676;0.08377909186323748;0.07122449683907159;0.11026587494418731;0.07122449683907159;0.11026587494418731;1.0403869333241604;0.6459341738785722;0.6459341738785722
7;iShares MSCI EMU SRI ETF EUR Inc;1rASMDU;2162;0.06775309938852958;0.07998943562520701;0.05237948027622937;0.10942052552385684;0.05237948027622937;0.10942052552385684;0.8470255960548195;0.4786988549493772;0.4786988549493772
8;iShares Core DAX® ETF (DE) Acc;1rAEXS1;1442;0.08435212089081112;0.07928587297852129;0.09633798644347084;0.10746606013985487;0.09633798644347084;0.10746606013985487;1.0638984944223582;0.896450342723069;0.896450342723069
9;iShares MSCI EMU Paris-Algnd ClmtETFEURDis;1rAMPAB;1506;0.09210564639228547;0.08859773855371714;0.07405758166801692;0.11143038241407409;0.07405758166801692;0.11143038241407409;1.0395936498586977;0.6646085211555656;0.6646085211555656
10;iShares MSCI EMU Paris-Algnd ClmtETFEURAcc;1rAEMPA;1508;0.09903546535847219;0.08484198490828121;0.08306950443101245;0.11046050303718996;0.08306950443101245;0.11046050303718996;1.1672931210359458;0.7520290252801449;0.7520290252801449
11;iShares STOXX Europe 600 Auto&P (DE) acc;1rASAOT;1148;0.05483797215723607;0.12774370468660695;0.09171029658799741;0.16156979120797701;0.09171029658799741;0.16156979120797701;0.4292812103091093;0.5676203200011902;0.5676203200011902
12;iShares MSCI France ETF EUR Acc;1rAIFRE;1444;0.03973475984872843;0.09161318299055694;0.06588831983393069;0.1138216746319234;0.06588831983393069;0.1138216746319234;0.4337231668156765;0.5788732246911704;0.5788732246911704
13;iShares Diversified Commodity Swap (DE);1rTCMSE;960;0.04765698347542502;0.08048755784543904;-0.01867765214488901;0.10052724018203395;-0.01867765214488901;0.10052724018203395;0.5921037331874467;-0.1857969254011914;-0.1857969254011914
14;Amundi Euro Stoxx Banks ETF Acc;1rTBNKE;5134;0.21180536908301406;0.1262943347130776;0.22375537600235598;0.1815402313020599;0.22375537600235598;0.1815402313020599;1.6770773571451572;1.2325387843648576;1.2325387843648576
15;Amundi STOXX Europe 600 Banks ETF Acc;1rTBNK;5132;0.20015191668053645;0.11216810555189671;0.19593785089135876;0.15654788174671178;0.19593785089135876;0.15654788174671178;1.7843924143653505;1.2516161107077666;1.2516161107077666
16;Amundi IS ITALY MIB ESG ETF DR - EUR C;1rTFMI;5126;0.15792175530937758;0.10042288370423011;0.1912673050821985;0.12968249227957032;0.1912673050821985;0.12968249227957032;1.5725674217292511;1.4748891829581996;1.4748891829581996
17;Amundi FTSE MIB ETF Dist;1rTMIB;5134;0.1548791850849326;0.09404953061075855;0.17119346311336903;0.12765406285991174;0.17119346311336903;0.12765406285991174;1.6467831798749626;1.3410733609100844;1.3410733609100844
18;Amundi ETF PEA Japan Topix Daily Hdg EUR;1rTPTPXH;2640;0.19798511078793368;0.10306736848575408;0.23808128008338872;0.1301056719424609;0.23808128008338872;0.1301056719424609;1.9209291330194298;1.8299070019689836;1.8299070019689836
19;Amundi PEA US Tech ESG ETF Acc;1rTPANX;2640;0.2625766834012112;0.12847124076403635;0.3025398841788899;0.1477580679924414;0.3025398841788899;0.1477580679924414;2.0438557442088294;2.0475354631353624;2.0475354631353624
20;Lyxor STOXX Europe 600 Fin Svc ETF;1rTFIN;5074;0.1825444885585772;0.0991858587765912;0.14352273217616052;0.1356793380844032;0.14352273217616052;0.1356793380844032;1.8404285732883066;1.0578083163029446;1.0578083163029446
21;Lyxor Stoxx Europe 600 Tec ETF Acc;1rTTNO;5132;0.14189889121561017;0.1511436308707603;0.14319677180567889;0.1730794773281897;0.14319677180567889;0.1730794773281897;0.9388347388382173;0.8273469160884519;0.8273469160884519
22;Lyxor PEA Nasdaq-100 ETF Capi;1rTPUST;5142;0.18918835085548402;0.11113131861817335;0.2738136044407422;0.13911505509224306;0.2738136044407422;0.13911505509224306;1.7023855489873219;1.9682528555890988;1.9682528555890988
