,date,open,close,high,low,volumme,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,2024-04-03 00:00:00,4.9875,5.01,5.012,4.9875,7167,,,
1,2024-04-04 00:00:00,5.0084,4.9995,5.0084,4.983,49024,,,
2,2024-04-05 00:00:00,4.9428,4.9619,4.9724,4.9301,530025,,,
3,2024-04-08 00:00:00,4.9655,4.9713,4.9855,4.9605,611900,,,
4,2024-04-09 00:00:00,4.97,4.9449,4.9772,4.9307,495221,,,
5,2024-04-10 00:00:00,4.9803,4.9678,4.998,4.935,293428,,,
6,2024-04-11 00:00:00,4.9763,4.975,4.9959,4.9508,208066,,,
7,2024-04-12 00:00:00,5.0282,4.9985,5.0475,4.9901,247854,,,
8,2024-04-15 00:00:00,4.996,4.987,5.019,4.9795,424971,,,
9,2024-04-16 00:00:00,4.9168,4.9092,4.9341,4.893,331419,,,
10,2024-04-17 00:00:00,4.9,4.8813,4.9248,4.8813,236713,,,
11,2024-04-18 00:00:00,4.8818,4.892,4.8996,4.863,207848,,,
12,2024-04-19 00:00:00,4.8411,4.8473,4.8681,4.834,202402,,,
13,2024-04-22 00:00:00,4.8575,4.854,4.8733,4.845,299776,,,
14,2024-04-23 00:00:00,4.8874,4.9071,4.9125,4.87,175377,,,
15,2024-04-24 00:00:00,4.9337,4.9098,4.9374,4.905,167752,,,
16,2024-04-25 00:00:00,4.8829,4.8498,4.9021,4.835,206244,,,
17,2024-04-26 00:00:00,4.9129,4.9388,4.95,4.9001,191902,,,
18,2024-04-29 00:00:00,4.953,4.9399,4.98,4.9399,348051,,,
19,2024-04-30 00:00:00,4.9522,4.926,4.957,4.9234,213598,,,
20,2024-05-02 00:00:00,4.899,4.8969,4.9392,4.8796,440156,,,
21,2024-05-03 00:00:00,4.9176,4.9315,4.98,4.91,243297,,,
22,2024-05-06 00:00:00,4.9534,4.9676,4.98,4.9482,319049,,,
23,2024-05-07 00:00:00,4.9944,5.0005,5.0033,4.9884,245887,,,
24,2024-05-08 00:00:00,5.0058,5.0016,5.0119,4.9801,206097,,,
25,2024-05-09 00:00:00,5.0016,5.0112,5.1,4.9947,147669,,,
26,2024-05-10 00:00:00,5.0309,5.0279,5.0917,5.02,231346,,,
27,2024-05-13 00:00:00,5.0435,5.0224,5.0435,5.0188,221301,,,
28,2024-05-14 00:00:00,5.0233,5.0152,5.0647,5.01,151478,,,
29,2024-05-15 00:00:00,5.0337,5.0535,5.0667,5.0247,222470,,,
30,2024-05-16 00:00:00,5.0742,5.0759,5.1,5.0604,176963,,,
31,2024-05-17 00:00:00,5.0634,5.0593,5.0882,5.0551,228704,,,
32,2024-05-20 00:00:00,5.073,5.0899,5.12,5.0603,268186,,,
33,2024-05-21 00:00:00,5.0736,5.0762,5.0846,5.0634,223903,,,
34,2024-05-22 00:00:00,5.0753,5.0789,5.0931,5.0734,170486,,,
35,2024-05-23 00:00:00,5.1012,5.0816,5.115,5.0665,241779,,,
36,2024-05-24 00:00:00,5.0474,5.0639,5.0907,5.04,258882,,,
37,2024-05-27 00:00:00,5.0654,5.0735,5.0764,5.058,249024,,,
38,2024-05-28 00:00:00,5.0698,5.0526,5.09,5.05,239985,,,
39,2024-05-29 00:00:00,5.0471,5.034,5.0521,5.015,296254,,,
40,2024-05-30 00:00:00,5.0186,5.0188,5.0724,5.0084,195759,,,
41,2024-05-31 00:00:00,5.014,4.9894,5.038,4.9804,333775,,,
42,2024-06-03 00:00:00,5.0595,5.0232,5.0729,5.02,356373,,,
43,2024-06-04 00:00:00,5.0217,5.0125,5.0392,5.0,264881,,,
44,2024-06-05 00:00:00,5.0433,5.0725,5.0746,5.0398,202596,,,
45,2024-06-06 00:00:00,5.093,5.0903,5.1607,5.0801,178027,,,
46,2024-06-07 00:00:00,5.0949,5.1181,5.1274,5.076,240161,,,
47,2024-06-10 00:00:00,5.1195,5.1383,5.1553,5.105,468100,,,
48,2024-06-11 00:00:00,5.1366,5.1307,5.1401,5.1067,224249,,,
49,2024-06-12 00:00:00,5.1488,5.159,5.18,5.141,260838,,,
50,2024-06-13 00:00:00,5.1639,5.1584,5.18,5.146,408893,,,
51,2024-06-14 00:00:00,5.18,5.1735,5.19,5.15,324759,,,
52,2024-06-17 00:00:00,5.1841,5.1754,5.1924,5.1575,399206,,,
53,2024-06-18 00:00:00,5.2021,5.2042,5.2203,5.1921,373945,,,
54,2024-06-19 00:00:00,5.2169,5.2094,5.2268,5.205,321993,,,
55,2024-06-20 00:00:00,5.2267,5.2308,5.25,5.2124,526685,,,
56,2024-06-21 00:00:00,5.2162,5.212,5.2399,5.2,341501,,,
57,2024-06-24 00:00:00,5.2091,5.221,5.2238,5.1922,297550,,,
58,2024-06-25 00:00:00,5.2016,5.2172,5.2238,5.1953,186699,,,
59,2024-06-26 00:00:00,5.2367,5.2156,5.25,5.213,423316,,,
60,2024-06-27 00:00:00,5.2229,5.2155,5.2366,5.211,240980,,,
61,2024-06-28 00:00:00,5.2494,5.2359,5.2612,5.23,339564,,,
62,2024-07-01 00:00:00,5.2114,5.204,5.2307,5.182,646578,,,
63,2024-07-02 00:00:00,5.1987,5.2124,5.23,5.1843,311083,,,
64,2024-07-03 00:00:00,5.231,5.2296,5.25,5.216,206895,,,
65,2024-07-04 00:00:00,5.2467,5.2406,5.2561,5.24,339536,,,
66,2024-07-05 00:00:00,5.2469,5.2428,5.2539,5.2313,299647,,,
67,2024-07-08 00:00:00,5.2449,5.2518,5.2633,5.2401,512047,,,
68,2024-07-09 00:00:00,5.262,5.2594,5.2796,5.255,299674,,,
69,2024-07-10 00:00:00,5.2616,5.281,5.283,5.258,257399,,,
70,2024-07-11 00:00:00,5.3049,5.2726,5.3133,5.2726,296251,,,
71,2024-07-12 00:00:00,5.2758,5.2989,5.3048,5.263,263310,,,
72,2024-07-15 00:00:00,5.2977,5.2981,5.31,5.285,406365,,,
73,2024-07-16 00:00:00,5.2877,5.3057,5.3206,5.275,246495,,,
74,2024-07-17 00:00:00,5.2912,5.2516,5.2939,5.245,424532,,,
75,2024-07-18 00:00:00,5.2587,5.2168,5.27,5.2168,260668,,,
76,2024-07-19 00:00:00,5.2254,5.2138,5.2574,5.1859,134893,,,
0,2024-04-03 00:00:00,4.9875,5.01,5.012,4.9875,7167,0.0,,
1,2024-04-04 00:00:00,5.0084,4.9995,5.0084,4.983,49024,1.0,,
2,2024-04-05 00:00:00,4.9428,4.9619,4.9724,4.9301,530025,2.0,,
3,2024-04-08 00:00:00,4.9655,4.9713,4.9855,4.9605,611900,3.0,,
4,2024-04-09 00:00:00,4.97,4.9449,4.9772,4.9307,495221,4.0,,
5,2024-04-10 00:00:00,4.9803,4.9678,4.998,4.935,293428,5.0,,
6,2024-04-11 00:00:00,4.9763,4.975,4.9959,4.9508,208066,6.0,,
7,2024-04-12 00:00:00,5.0282,4.9985,5.0475,4.9901,247854,7.0,,
8,2024-04-15 00:00:00,4.996,4.987,5.019,4.9795,424971,8.0,,
9,2024-04-16 00:00:00,4.9168,4.9092,4.9341,4.893,331419,9.0,,
10,2024-04-17 00:00:00,4.9,4.8813,4.9248,4.8813,236713,10.0,,
11,2024-04-18 00:00:00,4.8818,4.892,4.8996,4.863,207848,11.0,,
12,2024-04-19 00:00:00,4.8411,4.8473,4.8681,4.834,202402,12.0,,
13,2024-04-22 00:00:00,4.8575,4.854,4.8733,4.845,299776,13.0,,
14,2024-04-23 00:00:00,4.8874,4.9071,4.9125,4.87,175377,14.0,,
15,2024-04-24 00:00:00,4.9337,4.9098,4.9374,4.905,167752,15.0,,
16,2024-04-25 00:00:00,4.8829,4.8498,4.9021,4.835,206244,16.0,,
17,2024-04-26 00:00:00,4.9129,4.9388,4.95,4.9001,191902,17.0,,
18,2024-04-29 00:00:00,4.953,4.9399,4.98,4.9399,348051,18.0,,
